Ref.,Morgan Scores (Cos.),Searched Mols (Cos.),Morgan Scores (Euc.),Searched Mols (Euc.),Morgan Scores (Ours),Generated Mols (Ours),Morgan Scores (Pre-trained hierVAE),Generated Mols (Pre-trained hierVAE)
COCC#Cc1ccc(cc1)[C@H]1[C@@H](CO)N([C@@H]1C#N)C(=O)Cc1ccccc1,0.1,Fc1ccc(NC(=O)Nc2nnc(s2)-c2ccncc2)cc1C(F)(F)F,0.1,CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O,0.23,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C3=CCCCC3)cc2OC1CN(C)C(=O)Cc1ccccc1,0.09,CCC(=O)N1CC(C)COC(C)CCCC(CN(C)C(=O)CCC(F)(F)F)Oc2c(NC(=O)CCC(F)(F)F)cccc2C1=O
COCC#Cc1ccc(cc1)[C@H]1[C@H](CO)N([C@H]1C#N)C(=O)Cc1ccccc1,0.48,CN(C)CC(=O)N1[C@H](CO)[C@@H]([C@H]1C#N)c1ccc(cc1)C#Cc1cccnc1,0.18,Cc1cccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)c1,0.19,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)Cc5cccnc5)ccc4OC3C(CO)O2)cc1,0.13,CNCC(=O)Nc1ccc2c(c1)CN(C(=O)CC1CC1)CCC(NC(=O)CC1CC1)C(C)N(C(C)CO)C(CN(C)Cc1cccc(C(F)(F)F)c1)C(C)O2
COCC(=O)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2cc(NC(=O)c3ccc(cc3)-c3ccccc3)ccc2OC[C@H]1C)OC,0.4,CO[C@H]1CN(C)C(=O)c2cc(NS(=O)(=O)c3ccccc3OC)ccc2OC[C@H](C)NC[C@H]1C,0.12,Clc1ccccc1CN1CCc2sccc2C1,0.6,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NC(=O)c3ccc(F)cc3)ccc2OCC1C,0.21,COc1ccc(-c2ccc3c(c2)OC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)S3(=O)=O)cc1
COCC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)N[C@@H](C)c4ccccc4)O[C@@H]3CO)c2c1,0.16,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)OCc3cn(CCCC1=O)nn3,0.14,[O-][N+](=O)c1ccc2NC(=O)C3(NNc4ccccc4O3)c2c1,0.31,CCCNC(=O)NC1CCC(CC(=O)Nc2ccc(-c3ccccc3)cc2)OC1CO,0.06,Cc1c(C)c(C)c(CN2CCN(CCCNC(=N)N)CC2)c(C)c1C
COCC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)N[C@@H](C)c4ccccc4)O[C@H]3CO)c2c1,0.1,COc1cc(C(=O)O)c2Oc3c(C=O)c(O)cc(C)c3C(=O)Oc2c1C,0.22,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,0.54,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)CN(C)C)ccc4OC3C(CO)O2)cc1,0.15,CC1COC2CN(C)CC(=O)COC2C1c1ccccc1C(=O)NCc1c(F)c(F)c(F)c(F)c1F
COCC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)N[C@H](C)c4ccccc4)O[C@@H]3CO)c2c1,0.19,OC[C@@H]1[C@H]2Cn3c(ccc(C4=CCCC4)c3=O)[C@@H]([C@H]1C(=O)NC1CCCC1)N2C(=O)c1ccccc1,0.16,OC(COc1cccc2oc(cc(=O)c12)C(O)=O)COc1cccc2oc(cc(=O)c12)C(O)=O,0.47,CCNC(=O)CC1CC2c3cc(NC(=O)c4ccc5c(c4)OCO5)ccc3OC2C(CO)O1,0.13,CN(C)C(=O)C1C(CO)C2Cn3c(ccc(-c4cncnc4)c3=O)C2N1C(=O)c1c(F)c(F)c(F)c(F)c1F
COCC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)N[C@H](C)c4ccccc4)O[C@H]3CO)c2c1,0.46,OC[C@H]1O[C@@H](CC(=O)N2CCOCC2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)Nc5ccccc5F)cc34,0.2,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(O)=O,0.6,CC(C)NC(=O)Nc1ccc2c(c1)C1CC(CC(=O)NCCc3ccccc3)OC(CO)C1O2,0.17,COC1CN(S(=O)(=O)c2ccc(C)cc2C)CC(C)Oc2ccc(NC(=O)C3CCCCC3)cc2C(=O)N(C)CC1C
COCC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@H](CC(=O)N[C@@H](C)c4ccccc4)O[C@@H]3CO)c2c1,0.38,OC[C@@H]1O[C@@H](CC(=O)N2CCCCC2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)NC5CCCC5)cc34,0.38,OC[C@@H]1O[C@@H](CC(=O)N2CCCCC2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)NC5CCCC5)cc34,0.41,COc1ccc(CNC(=O)CC2CC3c4cc(NS(=O)(=O)c5ccc(F)cc5)ccc4OC3C(CO)O2)cc1,0.17,O=C(CC1CC2(C(=O)Nc3ccccc3C(F)(F)F)Cn3c(cc(-c4ccccc4F)cc3=O)C1N2)N[SH](=O)=O
COCC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@H](CC(=O)N[C@@H](C)c4ccccc4)O[C@H]3CO)c2c1,0.4,OC[C@@H]1O[C@@H](CC(=O)NCCN2CCCCC2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)c5ccc6OCOc6c5)cc34,0.19,COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,0.48,CCCNC(=O)Nc1ccc2c(c1)C1CC(CC(=O)NCCc3cccnc3)OC(CO)C1O2,0.11,CC(C)(C)S(=O)N1CCCOC(O)C2CC(CC(=O)NCc3c(F)c(F)c(F)c(F)c3F)COC21
COCC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@H](CC(=O)N[C@H](C)c4ccccc4)O[C@@H]3CO)c2c1,0.23,Cc1cccc(c1)S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@@H]12,0.11,Oc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,0.43,COc1ccc(CNC(=O)CC2CC3c4cc(N(C)C)ccc4OC3C(CO)O2)cc1,0.1,NS(=O)NCCCN1CCN(Cc2ccc3cc[nH]c3c2)CC1
COCC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@H](CC(=O)N[C@H](C)c4ccccc4)O[C@H]3CO)c2c1,0.13,Fc1cccc(F)c1S(=O)(=O)N2CCN(CC2)C(=O)c3ccc4OCCOc4c3,0.12,CCC1CCc2sc(cc2C1)C(=O)Nc1cc(ccc1OC)S(=O)(=O)N1CCOCC1,0.44,CCNC(=O)CC1CC2c3cc(NS(=O)(=O)c4ccc(C(F)(F)F)cc4)ccc3OC2C(CO)O1,0.16,CNCC1Oc2c(NS(=O)(=O)c3cn(C)cn3)cccc2C(=O)N(C(C)CO)CC1C
COCC(=O)Nc1ccc2O[C@H]3[C@H](C[C@@H](CC(=O)N[C@@H](C)c4ccccc4)O[C@@H]3CO)c2c1,0.54,COCCNC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)CN(C)C)cc23)[C@H](CO)O1,0.19,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,0.18,O=C(O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1,0.16,CCCNC(=O)Nc1ccc2c(c1)OC(CN(C)Cc1cc(OC)c(OC)c(OC)c1)C(C)NCCC(OC)CN(C)C2=O
COCC(=O)Nc1ccc2O[C@H]3[C@H](C[C@@H](CC(=O)N[C@@H](C)c4ccccc4)O[C@H]3CO)c2c1,0.14,Fc1ccc(NC(=O)Nc2nnc(s2)-c2ccncc2)cc1C(F)(F)F,0.11,CCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(F)ccc-21,0.46,CS(=O)(=O)Nc1ccc2c(c1)C1CC(CC(=O)NCc3ccc(F)cc3)OC(CO)C1O2,0.25,COc1ccc(CNC(=O)CC2OCC(CO)CC2NC(=O)Cc2ccccn2)cc1
COCC(=O)Nc1ccc2O[C@H]3[C@H](C[C@@H](CC(=O)N[C@H](C)c4ccccc4)O[C@@H]3CO)c2c1,0.24,CN1[C@H]2CC[C@H](CC(=O)N[C@@H]3CCN(Cc4ccccc4)C3)O[C@H]2COc2ccc(NC(=O)c3ccc(F)c(F)c3)cc2C1=O,0.14,NC(NCc1ccccc1)=N/C(=O)c1nc(Cl)c(N)nc1N,0.51,CCCNC(=O)CC1CC2c3cc(NC(=O)c4cccnc4)ccc3OC2C(CO)O1,0.35,CC(NC(=O)CC1OC(CO)C(CO)CC1NC(=O)CN1CCOCC1)c1ccccc1
COCC(=O)Nc1ccc2O[C@H]3[C@H](C[C@@H](CC(=O)N[C@H](C)c4ccccc4)O[C@H]3CO)c2c1,0.38,OC[C@@H]1O[C@@H](CC(=O)N2CCCCC2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)NC5CCCC5)cc34,0.11,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4ccco4,0.52,COc1ccccc1CNC(=O)CC1CC2c3cc(NC(=O)Cc4ccncc4)ccc3OC2C(CO)O1,0.19,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1
COCC(=O)Nc1ccc2O[C@H]3[C@H](C[C@H](CC(=O)N[C@@H](C)c4ccccc4)O[C@@H]3CO)c2c1,0.38,OC[C@@H]1O[C@@H](CC(=O)N2CCCCC2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)NC5CCCC5)cc34,0.13,CCCCc1nc(Cl)c(CO)n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1,0.55,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)Cc5ccccc5)ccc4OC3C(CO)O2)cc1,0.02,CCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCCNCCO
COCC(=O)Nc1ccc2O[C@H]3[C@H](C[C@H](CC(=O)N[C@@H](C)c4ccccc4)O[C@H]3CO)c2c1,0.13,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)c2ccc(cc2)N3CCN(C)CC3)OCc4cn(CCCC1=O)nn4,0.17,CNCCCCOc1ccccc1Cc1ccccc1,0.46,CCCNC(=O)CC1CC2c3cc(NC(=O)c4ccc5c(c4)OCO5)ccc3OC2C(CO)O1,0.17,COc1ccc(-c2cccc(OCC(=O)NCCCN3CCOCC3)c2)cc1
COCC(=O)Nc1ccc2O[C@H]3[C@H](C[C@H](CC(=O)N[C@H](C)c4ccccc4)O[C@H]3CO)c2c1,0.15,Clc1ccc(CCNC(=O)Cn2c3ccccc3c3nc4SCCn4c(=O)c23)cc1,0.1,[O-][N+](=O)c1ccc(cc1)-c1ccc(C=NN2CC(=O)NC2=O)o1,0.44,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)Nc5ccc(C(F)(F)F)cc5)ccc4OC3C(CO)O2)cc1,0.13,CCOc1ccccc1C(=O)NCCCN1CCCC1
COCCNC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@@H](CO)O1,0.7,OC[C@@H]1O[C@@H](CC(=O)NCc2cc(F)ccc2F)C[C@@H]3[C@H]1Oc4ccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)cc34,0.09,CCC1(C(=O)NCNC1=O)c1ccccc1,0.74,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)Nc5ccc(C(F)(F)F)cc5)ccc4OC3C(CO)O2)cc1,0.14,CN(C)C(=O)CC1OCCC2(CO)Oc3c(NS(C)(=O)=O)cccc3C12
COCCNC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@H](CO)O1,0.19,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCN4CCOCC4)cc3C1=O,0.19,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCN4CCOCC4)cc3C1=O,0.62,CN(C)C(=O)CC1CC2c3cc(NC(=O)Nc4ccc(F)cc4)ccc3OC2C(CO)O1,0.14,CNCC1OCc2ccccc2-c2ccccc2C(=O)N(C(C)CO)CC1C
COCCNC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@@H](CO)O1,0.19,OC[C@H]1O[C@H](CCNS(=O)(=O)c2ccc(Cl)cc2)CC[C@@H]1NC(=O)c1ccccn1,0.15,COC(=O)C1=C(C)N=C(C)C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,0.54,CCCNC(=O)Nc1ccc2c(c1)C1CC(CC(=O)NCCc3ccccc3)OC(CO)C1O2,0.16,CNC(=O)CC1CC(C(=O)NCCCN2CCOCC2)CC(NC(=O)Cc2ccccn2)O1
COCCNC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@H](CO)O1,0.1,COc1ccccc1OCC(O)COC(N)=O,0.13,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,0.53,CCCNC(=O)CC1CC2c3cc(NC(=O)Cc4ccncc4)ccc3OC2C(CO)O1,0.2,Nc1nc2cc(S(=O)(=O)c3ccc(C(F)(F)F)cc3)ccc2[nH]1
COCCNC(=O)C[C@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@@H](CO)O1,0.4,CN(C)CC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)N4CCCCC4)O[C@@H]3CO)c2c1,0.09,COc1cc(N)c(Cl)cc1C(=O)NC1CN2CCC1CC2,0.53,CCCNC(=O)CC1CC2c3cc(NC(=O)Cc4ccncc4)ccc3OC2C(CO)O1,0.18,CC=Cc1ccc2c(c1)N(C(C)CO)SC(C)C(CC(=O)NCC(F)(F)F)OC2CN(C)CCCCC
COCCNC(=O)C[C@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@H](CO)O1,0.14,OC[C@@H]1[C@H]2Cn3c(cccc3=O)[C@H](N2)[C@H]1C(=O)N1CCc2ccccc2C1,0.19,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O,0.54,CCCNC(=O)CC1CC2c3cc(NC(=O)c4cccnc4)ccc3OC2C(CO)O1,0.21,CC1C(=O)N(C(C)CO)Cc2c(NC(=O)CCC(F)(F)F)cccc2OC1CN(C)Cc1ccncc1
COCCNC(=O)C[C@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@@H](CO)O1,0.17,CCCC#Cc1ccc2c(O[C@@H](CN(C)C(=O)Nc3ccccc3F)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.16,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2ccc3OCOc3c2)Oc4cc(ccc4S1(=O)=O)c5ccccc5,0.43,CCOC(=O)CC1CC2c3cc(NC(=O)c4ccc5c(c4)OCO5)ccc3OC2C(CO)O1,0.13,Cc1c(NC(=O)CCC(N)=O)ccc(C(=O)NCCCNC(=O)CCC(=O)Nc2cc(C(=O)NCCCNC(=O)c3cccnc3)ccc2C(=O)NCCCNC(=O)c2ccncc2)c1C(=O)Nc1ccccc1C(F)(F)F
COCCNC(=O)C[C@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@H](CO)O1,0.41,CN1CCN(CC1)C(=O)C[C@H]2C[C@H]3[C@H](Oc4ccc(NC(=O)Cc5ccncc5)cc34)[C@H](CO)O2,0.11,Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,0.53,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)CN(C)C)ccc4OC3C(CO)O2)cc1,0.01,CCCCCCCCCCCC=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
COCCOC(=O)C1C(C(=C(C)N=C1C)C(=O)OC(C)C)c2cccc(c2)[N+](=O)[O-],0.1,Nc1ccc(O)c(c1)C(O)=O,0.08,Oc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,0.16,CCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)CC)C(C)CO2,0.12,CCN(CC)CCOC(C)(C)C(O)CN1Cc2ccccc2S1(=O)=O
CO[C@@H](CN(C)S(=O)(=O)c1cccc(Cl)c1)[C@@H](C)CN([C@@H](C)CO)S(=O)(=O)c1cccc(Cl)c1,0.14,CC(C)(C)S(=O)N1Cc2cc(nc(c2[C@@H]1CCO)c3cccc(c3)c4cccc(F)c4)C(=O)NCCCN5CCOCC5,0.17,COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,0.24,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C#CCN(C)C)cc2OC1CN(C)S(=O)(=O)c1ccc(Cl)cc1,0.11,CN(C)CCCC(O)c1ccccc1C(=O)NCCCN1CCOCC1
CO[C@@H](CN(C)S(=O)(=O)c1cccc(Cl)c1)[C@@H](C)CN([C@H](C)CO)S(=O)(=O)c1cccc(Cl)c1,0.1,CO[C@@H]1CC[C@@H]2CCOc3c(cccc3C(=O)N(C)C[C@@H](C)C(=O)N(C)C[C@H]1O2)C#N,0.13,Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12,0.24,COc1cccc(S(=O)(=O)N(C)CC2OCc3ccccc3-c3ccccc3C(=O)N(C(C)CO)CC2C)c1,0.14,NS(=O)(=O)c1ccc(C(=O)Nc2ccc3c(c2)C2CC(CC(=O)NCC(F)(F)F)OC(CO)C2O3)cc1
CO[C@@H](CN(C)S(=O)(=O)c1cccc(Cl)c1)[C@H](C)CN([C@@H](C)CO)S(=O)(=O)c1cccc(Cl)c1,0.45,CO[C@@H](CN(C)S(=O)(=O)c1ccc(Cl)cc1)[C@@H](C)CN(Cc1ccccc1Cl)[C@@H](C)CO,0.15,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC,0.18,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccccc3C(=O)N(C)C)cc2OC1CN(C)C(=O)CCC(F)(F)F,0.13,CC(C)NC(=O)NC1C=C(CO)C(CC(=O)N2CCC(Cc3ccccc3)CC2C)OC1
CO[C@@H](CN(C)S(=O)(=O)c1cccc(Cl)c1)[C@H](C)CN([C@H](C)CO)S(=O)(=O)c1cccc(Cl)c1,0.45,CO[C@H](CN(C)S(=O)(=O)c1ccc(Cl)cc1)[C@H](C)CN(Cc1ccccc1Cl)[C@@H](C)CO,0.08,C(c1cnc[nH]1)c1ccncc1,0.2,CCCNC(=O)Nc1ccc2c(c1)CC(=O)N(C(C)CO)CC(C)C(CN(C)S(=O)(=O)c1ccc(C)cc1)O2,0.06,CNCC12OCC(=O)CNC(CN(C)CC3CCOCC3)C1OCC(NC(=O)CCCN(C)C)C2C
CO[C@@H]1CC[C@@H]2CCN(C)C(=O)C[C@@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@@H]1O2)c1ccccc1,0.19,CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)Cc3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,0.04,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,0.18,COc1ccc(NC(=O)N(C)CC2OCc3ccccc3-c3c(n(C)c4ccccc34)C(=O)N(C(C)CO)CC2C)cc1,0.14,Cc1cc(S(=O)(=O)N2CCCc3ccccc32)c(C)c(C)c1C(=O)N(C)C
CO[C@@H]1CC[C@@H]2CCN(C)C(=O)C[C@@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)c1ccccc1,0.45,CO[C@H]1CC[C@H]2CCN(C)C(=O)CCCN(C)C(=O)c3cc(ccc3OC[C@@H]1O2)C#N,0.09,Cc1cccc(C)c1NC1=NCCCS1,0.22,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)NC1CCCCC1,0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCNC
CO[C@@H]1CC[C@@H]2CCN(C)C(=O)C[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@@H]1O2)c1ccccc1,0.12,OC[C@H]1O[C@H](CC(=O)O)C[C@H]2[C@@H]1Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23,0.19,OC[C@H]1[C@@H]([C@H](C#N)N1S(=O)(=O)c1ccccc1)c1ccc(cc1)C1=CCCCC1,0.25,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2OCC1C,0.07,COc1ccc(C(=O)NCC(=O)NC(Cc2ccc(C(C)(C)C)cc2)C(=O)NC(Cc2ccc(C(C)(C)C)cc2)C(=O)NC(Cc2ccc(C(C)(C)C)cc2)C(=O)NCCc2ccc(C(C)(C)C)cc2)cc1
CO[C@@H]1CC[C@@H]2CCN(C)C(=O)C[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)c1ccccc1,0.07,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2OC(=O)CC)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.11,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0.23,COC1CN(C)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2OCC(C)NCC1C,0.17,CN(C)C(=O)C1C(CO)C2Cn3c(ccc(-c4ccccn4)c3=O)C1N2C(=O)C1CCOCC1
CO[C@@H]1CC[C@@H]2CCN(C)C(=O)[C@@H](C)CN(C)C(=O)c3cccc(C#N)c3OC[C@@H]1O2,0.45,CO[C@H]1CC[C@@H]2CCN(C)C(=O)C[C@@H](CN(C)C(=O)c3cc(ccc3OC[C@H]1O2)C#N)c1ccccc1,0.11,C[C@@H](NC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2cccc(F)c2)[C@H](CO)O1)c1ccccc1,0.23,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2ccc(NS(C)(=O)=O)cc2OCC1C,0,NCC(O)C=CC=CC=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O
CO[C@@H]1CC[C@@H]2CCN(C)C(=O)[C@@H](C)CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2,0.54,CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@H](C)N(C)C(=O)c3cc(ccc3OC[C@H]1O2)C#N,0.1,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O,0.54,COC1CCC2CCN(C)C(=O)C(C)C(OC)CN(C)C(=O)c3cc(C#N)ccc3OCC1O2,0.12,CCC#Cc1ccc2c(c1)OC(CN(C)Cc1nccs1)C(C)CN(C(C)CO)S2(=O)=O
CO[C@@H]1CC[C@@H]2CCN(C)C(=O)[C@H](C)CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2,0.45,CO[C@@H]1CC[C@@H]2CCN(C)C(=O)C[C@H](CN(C)C(=O)c3cc(ccc3OC[C@H]1O2)C#N)c1ccccc1,0.15,COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,0.23,CCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(CCC)C(C)CO2,0.2,CC(C)NC(=O)N1CC(C)C(=O)OCC2OC(CC(=O)NC3CCN(Cc4ccccc4)C3)CCC21
CO[C@@H]1CC[C@@H]2CCOc3ccc(cc3C(=O)N(C)[C@@H](C)C(=O)N(C)C[C@H]1O2)C#N,0.71,CO[C@@H]1CC[C@H]2CCOc3ccc(cc3C(=O)N(C)C[C@@H](OC)[C@@H](C)C(=O)N(C)C[C@@H]1O2)C#N,0.1,CC=Cc1ccc(cc1)[C@@H]1[C@@H](CO)N([C@@H]1C#N)C(=O)c1cccnc1,0.24,COC1CN(C)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2OCC(C)NCC1C,0.08,CCOC(=O)C(NC(=O)CNC(=O)c1ccccc1N)C(C)(C)C
CO[C@@H]1CC[C@@H]2CCOc3ccc(cc3C(=O)N(C)[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,0.12,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cccc(c2)C(F)(F)F)OCc3ccccc3-c4ccccc4C1=O,0.14,CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)C1C=Nc2ccccc12,0.27,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)C1CC1)C(C)CO2,0.11,CCCNC(=O)C1CC2(CO)NC1Cn1c2c(-c2ccncc2)ccc1=O
CO[C@@H]1CC[C@@H]2CCOc3ccc(cc3C(=O)N(C)[C@H](C)C(=O)N(C)C[C@H]1O2)C#N,0.09,OC[C@@H]1O[C@@H](CC(=O)NCCc2ccncc2)CC[C@H]1NC(=O)Cc1ccccn1,0.08,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)[C@@H](C(C)C)C(O)=O,0.26,COC1CN(C)C(=O)c2cc(NS(=O)(=O)c3ccc(C)cc3)ccc2OCC(C)N(CC2CCOCC2)CC1C,0.1,CN(C)C(=O)CC1CC(C(=O)NCCN2CCCCC2)C(CO)C(N(C)C)O1
CO[C@@H]1CC[C@H]2CCN(C)C(=O)C[C@@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@@H]1O2)c1ccccc1,0.14,Fc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1,0.15,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(O)=O,0.42,COC1CCC2CCN(C)C(=O)C(C)C(OC)CN(C)C(=O)c3cc(C#N)ccc3OCC1O2,0.09,CNC(=O)c1ncccc1C(=O)Nc1cc(C)c(C)c(C)c1C
